,label,sentence,translate_result
1292,4,What is the most useful site on the Internet ?,What is the most useful page on the Internet?
1293,4,What is the world 's highest peak ?,What is the highest summit in the world?
1294,0,What was a Mae West on a World War II battleship ?,What was a Mae West on a World War II battleship?
1295,0,Define cosmology .,Define cosmology.
1296,3,What comedienne upstaged Dwight D. Eisenhower 's first inauguration by giving birth to her first child ?,What comedy surprised Dwight D. Eisenhower's first initiation by the birth of her first child?
1297,0,What are amicable numbers ?,What are good numbers?
1298,5,When were the Olympic Games in which Nadia Comaneci became popular played ?,"When did the Olympics, in which Nadia Comaneci was popular, become popular?"
1299,4,"Where is Hearst Castle , built by publisher William Randolph Hearst ?","Where is Hearst Castle, built by William Randolph Hearst?"
1300,4,What 's the largest U.S. city on the Great Lakes ?,What is the largest U.S. city on the Great Lakes?
1301,3,Who sang about Desmond and Molly Jones ?,Who sang about Desmond and Molly Jones?
1302,1,"What magazine gives us the cream , not the skim ?","What magazine gives us the cream, not the savings?"
1303,1,What does the technique called `` cold fusion '' produce ?,What does the technology called cold fusion produce?
1304,3,What costume designer decided that Michael Jackson should only wear one glove ?,What costume designer decided that Michael Jackson should only wear one glove?
1305,1,"What meter did Shakespeare use in writing : `` To be , or not to be , that is the question.. . '' ?","What meter did Shakespeare write: ``To be oderto be, that is the question..''''?"
1306,5,How many rows of sprocket holes does a roll of 35-millimeter film have ?,How many rows of Rite Holes has a role of 35 -millimeter film?
1307,5,What is the goat population of the world ?,What is the goat population of the world?
1308,3,What company was the original sponsor of TV 's Superman ?,Which company was the original sponsor of TV's Superman?
1309,1,What term does a Czech use to describe a Pole ?,What term does a Czech use to describe a Pole?
1310,4,What sea separates Naples and Algiers ?,What sea separates Naples and Algiers?
1311,5,How many lawyers are there in the state of New Jersey ?,How many lawyers are there in the state of New Jersey?
1312,1,What are the most common elements in seawater ?,What are the most common elements in sea water?
1313,0,Describe the Finnish music personality Salonen 's appearance .,Describe the Finnish music personality Salonen's performance.
1314,0,What is the origin of the ethnic category `` caucasian '' ?,"What is the origin of the ethnic category ""Caucasian""?"
1315,0,What is a stratocaster ?,What is a Stratocaster?
1316,1,What kind of science is cosmology ?,What kind of science is cosmology?
1317,3,Name the blind sculptress in love with the Fantastic Four 's Thing .,Name the blind sculptor who fell in love with the Fantastic Four.
1318,1,What 's the second-lightest element ?,What is the second lightest element?
1319,1,What do you call a `` twirl '' in ballet ?,What's the word in ballet?
1320,1,What is the brand name of daminozide ?,What is the brand name of Daminozid?
1321,1,What is the former name of Zimbabwe ?,What is the former name of Zimbabwe?
1322,3,What National Basketball Association superstar told his story in Giant Steps ?,Which superstar of the National Basketball Association told his story in Giant Steps?
1323,1,What animals did The Amazing Three masquerade as ?,What animals have The Amazing Three disguised as?
1324,0,How did the bikini bathing suite get its name ?,How did the swimsuit get its name?
1325,5,When did Fraze get his first patent for the pull-tab can ?,When did Fraze get his first patent for the Pull -Tab can?
1326,5,How many games are played in a five-team round-robin tournament ?,How many games are played in a five -team round robin tournament?
1327,3,Who developed the first polio vaccine ?,Who developed the first polio vaccine?
1328,3,Who made the first gas engine ?,Who built the first gas engine?
1329,4,"What country claimed Rubens , Van Dyck and Bruegel as citizens ?","Which country claimed Rubens, Van Dyck and Bruegel as citizens?"
1330,1,What civil war was fought between 1936 and 1939 ?,What civil war was waged between 1936 and 1939?
1331,5,How many questions do you have on your database ?,How many questions do you have in your database?
1332,0,How do clouds form ?,How do clouds form?
1333,4,Where can I find examples of legal cases about the Individuals with Disabilities Education Act ?,Where can I find examples of legal cases concerning the law on disability education?
1334,3,What character did Tex Avery first create upon arriving at MGM ?,What figure did Tex Avery create when he arrived in MGM?
1335,5,When was the Triangle Shirtwaist fire ?,When was the Triangle Shirtwaist fire?
1336,3,What Asian spiritual and political leader was married at the age of 13 ?,Which Asian spiritual and political leader was at the age of 13.
1337,4,Where is Ocho Rios ?,Where's Ocho Rios?
1338,0,What is the half-life of P-32 ?,What is the half -life of P -32?
1339,4,What ocean does Mauritania border ?,What sea borders Mauritania?
1340,0,Why do pressure cookers save time in the kitchen ?,Why do pressure cookers save time in the kitchen?
1341,0,Why are there 12 people on a jury in criminal cases ?,Why are there twelve people on a jury in criminal matters?
1342,0,What do Christian Scientists believe in ?,What do Christian scientists believe in?
1343,1,"What World War I battle saw 6 , 0 troops killed in one day ?",In what battle in World War I were six soldiers killed?
1344,4,What country is Kosovo a part of ?,Which country is Kosovo?
1345,4,Tell me what city the Kentucky Horse Park is near ?,"Tell me, what city is Kentucky Horse Park in?"
1346,1,What computer operating system is on the most computers ?,Which operating system is available on most computers?
1347,4,What is Bill Gross 's email address ?,What e -mail address does Bill Gross have?
1348,0,What is the economic impact of unemployment on the economy ?,What is the economic impact of unemployment on the economy?
1349,2,"What do the letters D.C. stand for in Washington , D.C. ?",What do the letters D.C. in Washington D.C. mean?
1350,1,What animals can live the longest without food ?,Which animals can live longest without food?
1351,3,What English queen had seventeen children ?,What English queen had seventeen children?
1352,5,"What is the approximate population of Las Vegas , N.M ?","What is the approximate population of Las Vegas, N.M.?"
1353,5,How much does the President get paid ?,How much is the president paid?
1354,3,What two baseball players make up the battery ?,Which two baseball players turn off the battery?
1355,1,What 's the largest letter in Salvador Dali 's signature ?,What's the biggest letter in Salvador Dali's signature?
1356,1,What does an irate car owner call iron oxide ?,What does an angry car owner call iron oxide?
1357,5,"Of children between the ages of two and eleven , what percentage watch `` The Simpsons '' ?","Of children between the age of two and eleven, what percentage watch ``The Simpsons''?"
1358,4,What 's the northernmost U.S. state apart from Alaska ?,What is the northernmost U.S. state except Alaska?
1359,4,Name an art gallery in New York .,Name an art gallery in New York.
1360,3,Who sells Viagra ?,Who sells Viagra?
1361,1,What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?,What musical instrument did Prewitt play in James Jones's From Here to Eternity?
1362,0,What is the Home Rule Act ?,What is the Home Rule Act?
1363,4,What building are British monarchs crowned in ?,In which building are British monarchs crowned?
1364,0,What are Bellworts ?,What are Bellworts?
1365,3,Who was Darius ?,Who was Darius?
1366,1,What movie told of Anna Anderson 's claim to be a Russian czar 's daughter ?,What film tells of Anna Anderson's claim to be the daughter of the Russian Tsar?
1367,3,Who did Dita Beard work for ?,Who did Dita Beard work for?
1368,1,What kind of creature is a coot ?,What kind of creature is a raccoon?
1369,3,Name the university of which Woodrow Wilson was president .,Name the university that President Woodrow Wilson was.
1370,4,"What country was first to use the airplane as a weapon of war , against the Turks in Libya ?",What country used the plane as a weapon of war against the Turks in Libya?
1371,3,What university was Woodrow Wilson President of ?,At what university was Woodrow Wilson president?
1372,1,What is a fear of disease ?,What is a fear of disease?
1373,1,What kind of meat is Fray Bentos synonymous with ?,What kind of meat is Fray Bento's synonym for?
1374,1,What did Mr. Magoo flog on TV for General Electric ?,What was Mr. Magoo doing on TV for General Electric?
1375,0,What are the words to the Canadian National anthem ?,What are the words for the Canadian national anthem?
1376,1,What is the name of the Jewish alphabet ?,What is the name of the Jewish alphabet?
1377,3,Who served as inspiration for the schoolteacher portrayed by Robin Williams in `` Dead Poets Society '' ?,Who was the inspiration for the teacher portrayed by Robin Williams in the Dead Poets Society?
1378,5,What is Columbia Tristar 's phone number ?,What's Columbia Tristar's phone number?
1379,3,Name the five positions who are in the line of succession to the presidency .,Name the five positions that will follow the Presidency.
1380,3,Which one of the original seven Mercury program astronauts did not fly on any of the Mercury flights ?,Which of the original seven Mercury program astronauts did not fly on any of the Mercury flights?
1381,3,Who is the best known villain of the 165 Gunpowder Plot ?,Who is the most notorious villain in the 165 Gunpowder Plot?
1382,4,What is the capital of Burkina Faso ?,What is the capital of Burkina Faso?
1383,4,What continent is Bolivia on ?,On what continent is Bolivia?
1384,0,Why was Muhammad Ali stripped of his title and barred from boxing in 1967 ?,Why was Muhammad Ali stripped of his title and banned from boxing in 1967?
1385,3,"Who killed more people , Hitler or Stalin ?","Who killed more people, Hitler or Stalin?"
1386,0,What caused Shea & Gould to close their L.A. office ?,What made Shea &Gould close her office in L.A.?
1387,1,What 's the only mammal that can 't jump ?,What's the only mammal that can't jump?
1388,4,What U.S. state has the most blondes ?,Which U.S. state has the most blondes?
1389,1,What war saw battles at Parrot 's Beak and Black Virgin ?,In what war were there battles at Papagei's Beak and Black Virgin?
1390,5,What was the U.S. highway death toll in 1969 ?,What was the death rate in the USA in 1969?
1391,0,What does the name Kelly mean ?,What does the name Kelly mean?
1392,0,What is a phalanx ?,What is a Phalanx?
1393,3,What mustachioed comedian portrayed Frankie in North to Alaska ?,Which Mustachio comedian portrayed Frankie in northern Alaska?
1394,5,What does each of the utilities cost in Monopoly ?,What does each of the utilities cost in Monopoly?
1395,3,"What actor and World War II airman had a $5 , 0 bounty put on his head by Hermann Goering ?","Which actor and airman of World War II had put a $5,0 capital of Hermann Goering on his head?"
1396,2,What does e.g. stand for ?,What does it stand for?
1397,1,What is the name of the medical condition in which a baby is born without a brain ?,What is the medical condition in which a baby without a brain is born?
1398,0,How do storms form ?,How do storms form?
1399,3,Who is Nicolo Paganini ?,Who is Nicolo Paganini?
1400,4,What city is often called The Insurance Capital of the World ?,Which city is often called the insurance capital of the world?
1401,1,What are the three animals in Sheila Burnford 's The Incredible Journey ?,What are the three animals in Sheila Burnford's The Incredible Journey?
1402,3,Who portrayed Dracula in Hammer Studios ' films ?,Who portrayed Dracula in Hammer Studios?
1403,1,Name one of the Seven Wonders of the Ancient World .,Name one of the seven wonders of antiquity.
1404,5,When were fish first believed to be found on earth ?,When was it assumed that fish were found on Earth?
1405,3,"What President 's favorite Biblical quotation was : `` Come now , and let us reason together '' .",What the President's favorite Biblical quote was ```Come now and let's get together''.
1406,5,How many elevators do you ride to reach the top floor of the Empire State Building ?,How many elevators do you drive to reach the top floor of the Empire State Building?
1407,3,Name the food company that traveled to Soviet Georgia to film a series of ads .,Name the food company that has traveled to Soviet Georgia to film a series of ads.
1408,4,What country was Sir Edmund Hillary born in ?,In what country was Sir Edmund Hillary born?
1409,1,What 's an infant seal called ?,What's a mammal's name?
1410,0,"What was the proper Laugh-In respones to : `` Say goodnight , Dick '' ?",What was the real laugh in responses to say good night Dick?
1411,4,What city was John F. Kennedy nominated for president in ?,In what city was John F. Kennedy elected president?
1412,5,How long does a dog sleep ?,How long does a dog sleep?
1413,1,What 1963 Joseph L. Mankiewicz film cost $28 million ?,What does 1963 Joseph L. Mankiewicz Film $28 million cost?
1414,3,What Japanese electronics company was named for a coastal city northeast of Tokyo ?,What Japanese electronics company was named after a coastal town northeast of Tokyo?
1415,5,What can you be fined for having a dog on a beach ?,What can you pay for having a dog on the beach?
1416,4,Where did the Battle of the Bulge take place ?,Where did the battle of the Bulge take place?
1417,5,How much will the California be in the year 2000 ?,How much will California be in the 21st year?
1418,3,"What mystery writer penned `` ...the glory that was Greece , and the grandeur that was Rome '' ?",What mysterious writer wrote ``the glory that was Greece and the glory that was Rome'?
1419,4,What state full of milk and honey was the destination in The Grapes of Wrath ?,What condition full of milk and honey was the target in The Grapes of Wrath?
1420,4,What is the tallest building in Japan ?,What is the tallest building in Japan?
1421,4,Where is Sinn Fein 's headquarters ?,Where is Sinn Fein's headquarters?
1422,1,Name Li 'l Abner 's favorite Indian drink .,Name Li'l Abner's favorite drink from India.
1423,1,What are some important events of the 1830 's ?,What are some important events of the 1830s?
1424,5,The Iraqis launched their attack on Kuwait on what day ?,On what day did the Iraqis launch their attack on Kuwait?
1425,1,What letter adorns the flag of Rwanda ?,What letter does the flag of Rwanda adorn?
1426,1,"What did 8 , CD NNS VBP TO VB NNP POS NN .","What did 8, CD NNS VBP TO VB NNP POS NN do?"
1427,0,What is God ?,What is God?
1428,4,What country 's northernmost city is Darwin ?,Which northernmost city in the country is Darwin?
1429,4,"What sound does Olympia , Washington , overlook ?","What kind of a noise did Olympia miss, Washington?"
1430,1,What TV show chronicled the lives of Katy Holstrum and Congressman Glen Morley ?,What television programme has described the lives of Katy Holstrum and Congressman Glen Morley?
1431,4,What Kentucky city calls itself The Horse Center of America ?,"What's the name of Kentucky City, the Horse Center of America?"
1432,5,How many penny-farthings are there on a Trivial Pursuit game board ?,How many Penny Furthings are there on a Trivial Pursuit board?
1433,1,What 's the most abundant element in the sun ?,What is the most common element in the sun?
1434,4,"What European country boasts the city of Furth , found where the rivers Rednitz and Pegnitz converge ?","What European country boasts the city of Furth, where the rivers Rednitz and Pegnitz meet?"
1435,4,What U.S. state is Dixville Notch in ?,What state is Dixville Notch in?
1436,4,"Where was the Cisalpine Republic , 1797-185 , ?","Where was the Zisalpino Republic, 1797 -185?"
1437,4,What is the largest shopping mall in the world ?,What is the largest shopping centre in the world?
1438,3,What is the protagonist 's name in Dostoevski 's `` The Idiot '' ?,"What's the name of the protagonist in Dostoyevsky's ""The Idiot""?"
1439,1,What penalty space lies between Baltic Avenue and Reading Railroad on a Monopoly board ?,What is the penalty area between Baltic Avenue and Reading Railroad on a monopoly board?
1440,3,What presidential press secretary dismissed Watergate as a third-rate burglary attempt ?,Which spokesman has Watergate described as a third -rate burglary attempt?
1441,0,What is a meerkat ?,What's an Earthman?
1442,3,Who was Jean Nicolet ?,Who was Jean Nicolet?
1443,1,What kind of animal was Winnie the Pooh ?,What kind of animal was Winnie the Pooh?
1444,3,Which of these are authors ?,Which are the authors?
1445,1,What 's the international radio code word for the letter B ?,What's the international radio word for the letter B?
1446,3,Who was the original Humpty Dumpty ?,Who was the original Humpty Dumpty?
1447,0,What is cache memory ?,What is Cache Memory?
1448,1,Aspartame is also known as what ?,Aspartame is also known as what?
1449,4,Where is the location of the Orange Bowl ?,Where is the location of the Orange Bowl?
1450,5,When is President Nixon 's birthday ?,When's President Nixon's birthday?
1451,0,"What is the origin of the midwest slang , ` you 're darn tootin ' ?","What is the origin of Middle Eastern slang, ``you're damned'?"
1452,3,Whose cupboard was bare ?,Whose closet was empty?
1453,4,What are the seven seas ?,What are the seven seas?
1454,2,What does IBM stand for ?,What does IBM stand for?
1455,0,What is the difference between jazz and blues ?,What's the difference between jazz and blues?
1456,0,What is the C programming language ?,What is the programming language C?
1457,3,What 's the name of Popeye 's adopted son ?,What's Popeye's adopted son's name?
1458,3,Who invented the vacuum cleaner ?,Who invented the vacuum cleaner?
1459,0,What is a ` borrow pit ' ?,What's a borg pit?
1460,3,What 2th-century fictional character attends Pencey Prep School ?,What two -year fictional character does Pencey Prep School attend?
1461,5,How many people in the USA say their number one source of information is the newspaper ?,How many people in the US say that their main source of information is the newspaper?
1462,3,"Who does Shakespeare 's Antonio borrow 3 , 0 ducats from ?","Who rents Shakespeare's Antonio 3,0 dukes?"
1463,4,Which country is known as `` Big Bear '' ?,Which country is known as Big Bear?
1464,1,"What `` melts in your mouth , not in your hands '' .","What melts in your mouth, not in your hands."
1465,5,How many times a day should you take a prescription marked `` q.i.d . '' ?,How many times a day should you use a recipe with ``````````````q.d.''No.
1466,0,What is the origin of the atom ?,What is the origin of the atom?
1467,3,Who is the Voyager project manager ?,Who's the Voyager Project Leader?
1468,3,Which radio stations air the Jim Bohannon Radio Talk Show ?,Which radio stations are the Jim Bohannon Radio Talk Show?
1469,3,What two commanders directed the forces in the Battle of El Alamein ?,Which two commanders executed the troops in the battle of El Alameina?
1470,3,Name the creator of `` The Muppets '' .,Name the creator of ````The Muppets''.
1471,0,How do I e-mail someone at aol.com from yahoo.com ?,How do I e mail someone at aol.com from yahoo.com?
1472,3,Who replies `` I know '' to Princess Leia 's confession `` I love you '' in The Empire Strikes Back ?,Who answers ``I know''about Princess Leia's confession ``I love you'' in The Empire Strikes Back?
1473,0,What is the meaning of the name Ella ?,What is the meaning of the name Ella?
1474,4,What 's the home of the Rockettes ?,What's the Rocket Home?
1475,4,"Where can I find all the information I need to know about the English Civil War , 1642-1649 , ?","Where can I find all the information I need to know about the English Civil War, 1642 -1649?"
1476,3,What is the name of the firm that makes Spumante ?,What's the name of the company that makes Spumante?
1477,1,What sport is played on the largest field ?,What sport is played on the biggest field?
1478,3,Who won the 1967 Academy Award for Best Actor ?,Who won the 1967 Academy Award for Best Actor?
1479,1,What is after death ?,What happens after death?
1480,3,Name the first private citizen to fly in space .,Name the first private citizen to fly into space.
1481,3,What was football star Elroy Hirsch 's nickname ?,What was the name of football star Elroy Hirsch?
1482,3,What singer sings `` Oh Boy '' ?,"What singer sings ""Oh Boy""?"
1483,5,How much pizza do Americans eat in a day ?,How much pizza do Americans eat in one day?
1484,4,What is the website for the USA journal ?,What is the website for the US magazine?
1485,3,What army 's motto is Blood and Fire ?,"What army motto is ""blood and fire""?"
1486,1,What kind of patent did Ermal Fraze get in 1963 ?,What kind of patent did Ermal Fraze receive in 1963?
1487,0,What are you hearing when you put a seashell to your ear ?,What do you hear when you put a shell on your ear?
1488,0,Why are haunted houses popular ?,Why are haunted houses popular?
1489,1,Which gender has bigger thighs ?,Which sex has bigger thighs?
1490,4,What U.S. state has the second-longest coastline ?,Which U.S. state has the second longest coast?
1491,4,What state 's home to the Buffalo Bill Historical Center ?,In what state is the Buffalo Bill Historical Center located?
1492,5,How fast do cheetahs run ?,How fast do cheetahs run?
1493,1,What is Ray Bradbury 's illustrated man illustrated with ?,What about Ray Bradbury's illustrated man?
1494,5,How fast is a 45Mhz processor ?,How fast is a 45Mhz processor?
1495,1,"What kind of puzzle first appeared in the U.S. in the New York World on December 21 , 1913 ?","What kind of puzzle first appeared in the United States in New York World in December 21, 1913?"
1496,3,What count did Alexandre Dumas write about ?,What number did Alexandre Dumas write about?
1497,5,What are the odds of giving birth to twins ?,What are the chances of having twins?
1498,4,What is the largest natural lake in Pennsylvania ?,What is the largest natural lake in Pennsylvania?
1499,5,How far is London UK from California ?,How far is London UK from California?
1500,1,Name the two mystical ravens Odin has at his command .,Name the two mystical ravens Odin has at his command.
1501,1,What was the species of Winnie the Pooh ?,What was the kind of Winnie the Pooh?
1502,0,What is the virus HIV ?,What is the HIV virus?
1503,5,How many years old is Benny Carter ?,How old is Benny Carter?
1504,1,What Hermann Hesse book gave its name to a rock group ?,What Hermann Hesse's book gave his name to a rock band?
1505,4,Where does the Santa Fe Trail begin and end ?,Where does the Santa Fe Trail begin and end?
1506,1,What book is the follow-up to Future Shock ?,Which book is the follow -up to Future Shock?
1507,1,What African animals are known as The Big Five ?,Which African animals are known as The Big Five?
1508,1,What is the alphabet for Latin ?,What is the alphabet for Latin?
1509,1,What is the fear of frogs ?,What's the fear of frogs?
1510,4,Which city in Canada is the least-populated ?,Which city in Canada is the least populated?
1511,5,How old is Stevie Wonder ?,How old is Stevie Wonder?
1512,3,Who was the first Taiwanese President ?,Who was the first Taiwanese president?
1513,3,Who is Luke Skywalker 's father ?,Who's Luke Skywalker with his father?
1514,1,What does a dipsomaniac crave ?,What does a dipsomaniac want?
1515,0,What is the definition of the term `` weapons system '' ?,"What is the definition of the term ""weapons system""?"
1516,0,What are Christopher Marlowe 's and Shakespeare 's literary contributions to English literature ?,What are Christopher Marlowe's and Shakespeare's literary contributions to English literature?
1517,1,What is Nero Wolfe 's favorite drink during office hours ?,What is Nero Wolfe's favorite drink during office hours?
1518,3,What is the first personal computer company ?,What is the first personal computer company?
1519,1,What is the most efficient way to start a barbeque ?,What is the most efficient way to start a barbecue?
1520,3,Who was Jane Goodall ?,Who was Jane Goodall?
1521,0,Why are there Braille things on the ATM machines that people drive through ?,Why are there Braille things on the ATMs people drive through?
1522,4,Where is the Isle of Man ?,Where is the Isle of Man?
1523,1,What book did Aaron Hass write ?,Which book did Aaron Hate write?
1524,5,What was the death toll at the eruption of Mount Pinatubo ?,What was the kill shot at the outbreak of Mount Pinatubo?
1525,5,When will the millennium officially begin ?,When will the Millennium officially begin?
1526,3,"Who created the comic strip , `` Garfield '' ?","Who created the comic ""Garfield""?"
1527,3,Which Vietnamese terrorist is now a UN delegate in Doonesbury ?,What Vietnamese terrorist is now a UN delegate to Doonesbury?
1528,0,What is real time processing ?,What is real -time processing?
1529,4,What do we call the imaginary line along the top of the Rocky Mountains ?,What do we call the imaginary line at the top of the Rocky Mountains?
1530,4,What country 's capital is Lagos ?,Which capital is Lagos?
1531,4,Where does Ray Bradbury 's Chronicles take place ?,Where does Ray Bradbury's Chronicles take place?
1532,3,Who is the current prime minister and president of Russia ?,Who is the current Prime Minister and President of Russia?
1533,3,Who established a Viking colony in Greenland about 985 ?,"Who founded a Viking colony in Greenland, say, 985?"
1534,1,What was the distinguishing mark on the `` Little Rascals '' dog ?,"What was the distinguishing sign on the ""Little Rascals"" dog?"
1535,5,"What is the latitude and longitude of El Paso , Texas ?","What is the latitude and longitude of El Paso, Texas?"
1536,4,Where can I get information about cystic fibrosis ?,Where do I get information about cystic fibrosis?
1537,4,Where did Honecker rule ?,Where was Honecker?
1538,0,What is the theory of equivalence states ?,What is the theory of equivalence states?
1539,1,What does a philatelist collect ?,What does a philatelist collect?
1540,5,What is the life span of the average monkey ?,What is the life span of the average monkey?
1541,5,How many member states are in the UN ?,How many Member States are in the UN?
1542,3,Who shot and killed himself while painting Wheatfield with Crows ?,Who shot and killed himself painting Wheatfield with Crows?
1543,0,What will happen when sodium is put in water ?,What happens when sodium is given in water?
1544,0,What 's the meaning of UOL ?,What is the meaning of UOL?
1545,3,What future President became Senate majority whip under Harry Truman ?,What future president became the majority meal of the Senate under Harry Truman?
1546,3,Who was the architect of Central Park ?,Who was the architect of Central Park?
1547,1,Which operating system runs on IBM-compatible machines ?,What operating system runs on IBM -compatible machines?
1548,5,What are the dimensions of an ice hockey goal ?,What are the dimensions of an ice hockey goal?
1549,5,When was CNN 's first broadcast ?,When was CNN's first broadcast?
1550,1,What are the signs of a country going into a recession ?,What are the signs of a country going into recession?
1551,0,What is the circumorbital hematoma ?,What is the Circus orbital hematoma?
1552,4,What African country is governed from Ouagadougou ?,Which African country is governed by Ouagadougou?
1553,3,What was the Christian name of the title character in Our Miss Brooks ?,What was the Christian name of the title character in our Miss Brooks?
1554,3,What hard-of hearing artist painted Sunflowers ?,What deaf artist painted Sunflowers?
1555,3,Who were the Yankee 's frequent enemies ?,Who were Yankee's frequent enemies?
1556,3,Who wrote Sons and Lovers ?,Who wrote Sons and Lovers?
1557,1,What is the English translation for the word `` caliente '' ?,"What is the English translation for the word ""caliente""?"
1558,1,What handicraft requires you to interlace your warp and weft ?,What craft requires you to combine your warp and firearm?
1559,4,What French seaport claims to be The Home of Wines ?,What French seaport claims to be the house of wines?
1560,5,How long does it take sunlight to reach Earth ?,How long does it take for sunlight to reach Earth?
1561,5,How many milliseconds in a second ?,How many milliseconds in one second?
1562,3,What Cherokee Indian gave his name to a tree ?,What Cherokee Indian gave his name to a tree?
1563,5,When were camcorders introduced in Malaysia ?,When were camcorders introduced in Malaysia?
1564,5,What is the chance of conceiving quadruplets ?,What are the chances of getting four times?
1565,3,Who was the star of Leave It to Beaver ?,Who was the star of Leave It to Beaver?
1566,4,What countries have the largest armed forces in the world ?,Which countries have the largest forces in the world?
1567,3,What was William F. Cody 's better-known name ?,What was William F. Cody's better name?
1568,0,How do I increase my biceps ' size ?,How can I enlarge my biceps?
1569,3,Who did Richard Nixon tender his resignation to ?,Who did Richard Nixon resign to?
1570,3,Who was Thucydides ?,Who was Thucydides?
1571,0,How is the element strontium purified ?,How is the strontium cleaned?
1572,3,Which of the following rock 'n roll stars has a `` star '' on Hollywood Boulevard ?,Which of the following rock and roll stars has a star on Hollywood Boulevard?
1573,0,What are tonsils for ?,What are almonds for?
1574,1,"What molecules include fluorine , sodium and magnesium ?","What molecules are fluorine, sodium and magnesium?"
1575,1,What was the name of the ball game played by the mayans ?,What was the name of the Mayan ball game?
1576,1,What was the sequel to The Moon 's Balloon ?,What was the sequel to The Moon's Balloon?
1577,5,What is the exchange rate for Australian to American money ?,What is the exchange rate for Australian money for American money?
1578,0,What is the origin of the word ` posh ' ?,"What is the origin of the word ""posh""?"
1579,0,How can anyone tell if a female had sexual intercourse ?,How can you tell if a woman had intercourse?
1580,5,How many states did Richard Nixon carry in 1972 ?,How many states did Richard Nixon have in 1972?
1581,1,What basketball maneuver did Bert Loomis invent ?,What basketball maneuver did Bert Loomis invent?
1582,1,What is a good book to read for people who hate to read ?,What's a good book for people who hate to read?
1583,5,How many shillings more than 2 were there in a guinea ?,How many shillings more than two were in one Guinea?
1584,1,What does a tarantula eat ?,What does a tarantula eat?
1585,1,What are the three secondary colors ?,What are the three secondary colors?
1586,0,What does the name `` Sabrina '' mean ?,"What does the name ""Sabrina"" mean?"
1587,3,Who took over as conductor of the Boston Pops after Arthur Fiedler 's long reign ?,Who took over the leadership of the Boston Pops after Arthur Fiedler's long reign?
1588,1,What were the trials called which followed World War II ?,What were the trials that followed World War II called?
1589,0,What is hebephrenia ?,What is Hebephrenia?
1590,3,What Nazi leader killed himself in jail just before he was to be executed as a war criminal ?,What Nazi leader killed himself in prison just before he was executed as a war criminal?
1591,1,What famous events have happened on March 27 ?,What famous events took place on March 27th?
1592,3,Which company claimed to be `` the world 's biggest toy store '' ?,What company claimed to be the largest toy store in the world?
1593,5,What brand number graces the black label of a bottle of Jack Daniel 's ?,What brand decorates the black label of a bottle of Jack Daniel's?
1594,1,What do I call the sons and daughters of my first cousins ?,What do I call the sons and daughters of my first cousins?
1595,0,What were the causes of the Civil War ?,What were the causes of the civil war?
1596,0,What are Maid-Rites ?,What are Maid rites?
1597,4,What city is terrorized by Dracula in The Night Stalker ?,Which city is being terrorized by Dracula in The Night Stalker?
1598,0,How can you prevent it ?,How can you stop it?
1599,0,What do the names Andrew and Christina mean ?,What do the names Andrew and Christina mean?
1600,1,What chocolate bar created by Frank Mars and his wife is often called a Milky Way with peanuts ?,"Which chocolate bar, created by Frank Mars and his wife, is often referred to as the peanut Milky Way?"
1601,3,Who is the fastest guitarist ?,Who's the fastest guitar player?
1602,1,What do camels store in their humps ?,What do camels store in their humps?
1603,1,What is the name of the second space shuttle ?,What's the name of the second space shuttle?
1604,4,What is the best hospital for orthopedics in the country ?,What's the best orthopedic hospital in the country?
1605,0,What are perfect tenses ?,What are perfect times?
1606,0,What is commonly considered the fifth sense ?,What is commonly referred to as the fifth sense?
1607,1,What was another name for East Germany ?,What was another name for East Germany?
1608,1,What 's the second-biggest-selling magazine in America ?,What is the second largest magazine in America?
1609,3,Who betrayed Norway to the Nazis ?,Who betrayed Norway to the Nazis?
1610,3,Who took the toys donated for the Doodyville Orphans ' Fund and kept them for himself ?,Who donated the toys to the Doodyville orphanage fund and kept them for themselves?
1611,0,What is a bourdon tube ?,What's a Bourdon tube?
1612,1,What kind of a sports team is the Wisconsin Badgers ?,What kind of sports team are the Wisconsin Badgers?
1613,3,Who were the Picts ?,Who were the Picts?
1614,0,"What do Caroll Baker , Tammy Grimes , Debbie Reynolds , and Judy Garland all have in common ?","What do Caroll Baker, Tammy Grimes, Debbie Reynolds and Judy Garland have in common?"
1615,0,What is film noir ?,What is Film noir?
1616,3,Who is stationed at Camp Swampy in the comic strips ?,Who's stationed at Camp Swampy in comics?
1617,5,In what year did China and the Republic of Korea establish diplomatic relations ?,In what year did China and the Republic of Korea establish diplomatic relations?
1618,0,What causes tuberculosis ?,What causes tuberculosis?
1619,5,How tall is the giraffe ?,How big is the giraffe?
1620,3,What actor dressed up as Santa Claus and had a once-a-year affair with actress Shelley Winters every Christmas for many years ?,Which actor dressed up as Santa Claus and had an affair once a year with the actress Shelley Winters every Christmas for many years?
1621,1,What animal was the heat-seeking missile called the Sidewinder named for ?,Which animal was the heat -seeking missile after which the Sidewinder was named?
1622,5,How long did it take Stanley to find Livingstone ?,How long did it take Stanley to find Livingstone?
1623,5,How much of the nation 's children between the ages of two and eleven watch ` The Simpsons ' ?,"How many of the nation's children between the age of two and eleven ""The Simpsons""?"
1624,4,What lake is Sheboygan on ?,What lake is Sheboygan on?
1625,0,What are a baseball team 's firemen ?,What are the firefighters of a baseball team?
